name,link,desc,chef,prepTime,cooktime,total,ingredients,instructions,rating,num_of_reviews,calories,servings,fat,carb,protein,cholesterol,sodium
Cheesy Burrito Game Day Dip,http://allrecipes.com/recipe/234476/cheesy-burrito-game-day-dip/,"""A quick and easy recipe that has become our favorite for football game day. It is so tasty and is filling too. Low fat cheese works well in this also. Serve with tortilla or corn chips and side of guacamole.""",R. J. Nequette,15 m,30 m,45 m,"1001, 1002, 1003, 1004, 1005, 1006, 1007","Preheat oven to 350 degrees F (175 degrees C). Spray a 9x13-inch baking dish with cooking spray.
Heat a large skillet over medium-high heat. Cook and stir beef in the hot skillet until browned and crumbly, 5 to 7 minutes; drain and discard grease.
Stir ground beef, refried beans, 3 cups Colby-Monterey Jack cheese, sour cream, cream cheese, and taco seasoning mix together in a bowl until well mixed. Spread mixture into the prepared baking dish.
Bake in the preheated oven for 20 minutes; sprinkle with remaining 1 cup Colby-Monterey Jack cheese. Continue baking until cheese is melted, about 5 more minutes.",4.19999980926514,5,595 ,8 servings,41,24.2,32.9,138,1271
Playgroup Granola Bars,http://allrecipes.com/recipe/81298/playgroup-granola-bars/,"""My girlfriend brought these granola bars over for a playgroup one morning and ever since they've been a staple!  My son requests them almost daily so I usually triple the recipe and make 2 trays so we have plenty on hand.""",PREGOCOOK,15 m,35 m,50 m,"1008, 1009, 1010, 1011, 1012, 1013, 1014, 1015, 1016, 1017, 1018","Preheat the oven to 350 degrees F (175 degrees C). Generously grease a 9x13 inch baking pan.
In a large bowl, mix together the oats, brown sugar, wheat germ, cinnamon, flour, raisins and salt. Make a well in the center, and pour in the honey, egg, oil and vanilla. Mix well using your hands. Pat the mixture evenly into the prepared pan.
Bake for 30 to 35 minutes in the preheated oven, until the bars begin to turn golden at the edges. Cool for 5 minutes, then cut into bars while still warm. Do not allow the bars to cool completely before cutting, or they will be too hard to cut.",4.53383445739746,1381,161 ,24 servings (24 granola bars),5.5,26.6,2.4,8,79
Loaded Queso Fundido,http://allrecipes.com/recipe/237491/loaded-queso-fundido/,"""Mexican fondue loaded with flavor. Additional fillings could be added to this easily: shrimp, crawfish, black olives, etc. Great over chips, baked potatoes, or just about anything.""",FoodieJJ54,15 m,20 m,35 m,"1019, 1020, 1021, 1022, 1023, 1024, 1025, 1026, 1027, 1028, 1029, 1030","Bring chicken broth to a boil in a pot; add American cheese, bring to a simmer, reduce heat to low, and cook, stirring frequently, until the cheese melts into the broth, about 5 minutes.
Heat olive oil in a skillet over medium-high heat; saute chicken and chorizo in oil until the chicken is no longer pink in the center, 5 to 7 minutes. Add mushrooms, tomatoes, onion, jalapenos, green onions, and garlic; saute until all vegetables are tender, 7 to 10 minutes.
Stir chicken mixture into the melted cheese; bring to a simmer. Stir Cheddar cheese into the mixture and cook until completely melted, about 5 minutes.",4.59999990463257,5,719 ,8 servings,56.4,7.4,46.1,175,2284
Homemade Beef Jerky,http://allrecipes.com/recipe/241555/homemade-beef-jerky/,"""Thanks to a new wave of modern day cave-people, eating healthy, high-protein snacks is all the rage, and while you can find many artisan brands out there, making your own is fun, easy, and using this method, relatively quick. Have your butcher slice the beef for you.""",Chef John,15 m,3 h,6 h 15 m,"1031, 1032, 1033, 1034, 1035, 1036, 1037, 1038, 1039","Whisk Worcestershire sauce, soy sauce, paprika, honey, black pepper, red pepper flakes, garlic powder, and onion powder together in a bowl. Add beef to bowl and turn to coat beef completely. Cover the bowl with plastic wrap and marinate in the refrigerator, 3 hours to overnight.
Preheat oven to 175 degrees F (80 degrees C). Line a baking sheet with aluminum foil and place a wire rack over the foil.
Transfer beef to paper towels to dry. Discard marinade. Arrange beef slices in a single layer on the prepared wire rack on the baking sheet.
Bake beef in the preheated oven until dry and leathery, 3 to 4 hours. Cut with scissors into bite-size pieces.",4.60674142837524,74,286 ,6 servings,10.5,13.9,32.7,81,2179
Bacon Wrapped Smokies,http://allrecipes.com/recipe/69919/bacon-wrapped-smokies/,"""Time consuming but it is well worth it! The brown sugar and bacon grease combine beautifully and give such a great taste.""",JILL1018,45 m,45 m,1 h 30 m,"1040, 1041, 1042","Preheat the oven to 325 degrees F (165 degrees C).
Refrigerate 2/3 of the bacon until needed. It is easier to wrap the wieners with cold bacon. Wrap each cocktail wiener with a piece of bacon and secure with a toothpick. Place on a large baking sheet. Sprinkle brown sugar generously over all.
Bake for 40 minutes in the preheated oven, until the sugar is bubbly. To serve, place the wieners in a slow cooker and keep on the low setting.",4.78280782699585,1312,163 ,16 servings,10.5,10.7,6.5,26,458
Insanely Amazing Jalapeno Cheese Dip,http://allrecipes.com/recipe/203218/insanely-amazing-jalapeno-cheese-dip/,"""Take this delicious, 5-minute prep, jalapeno cheese dip to BBQs, cookouts, parties, or any other occasion. This dish will make you the most popular person there! Serve with bread, crackers, or chips.""",happywife05,10 m,30 m,40 m,"1043, 1044, 1045, 1046, 1047, 1048","Preheat an oven to 350 degrees F (175 degrees C).
Combine jalapeno peppers, Parmesan cheese, Cheddar cheese, mayonnaise, and green chilies in a bowl. Cut the top off of the sourdough bread and hollow out the center to create a bowl. Fill the bread bowl with the jalapeno mixture.
Bake in the preheated oven for 30 minutes.",4.55272722244263,226,438 ,8 servings (2 cups),28.1,34.7,12.7,25,1137
Seven Layer Taco Dip,http://allrecipes.com/recipe/19673/seven-layer-taco-dip/,"""I am continuously asked to bring this dip for parties and family get-togethers. People gather around the platter until it's gone.""",SUE CASE,30 m
Easy Guacamole,http://allrecipes.com/recipe/14064/easy-guacamole/,"""Simply a quick recipe for tasty guacamole! Great with tortilla chips or as a topping for Mexican foods!""",Denise Goodman,10 m
Baked Kale Chips,http://allrecipes.com/recipe/176957/baked-kale-chips/,"""These are a low calorie nutritious snack. Like potato chips, you cannot stop at just eating one. They are great for parties and a good conversation topic.""",LucyDelRey,10 m,10 m,20 m,"1049, 1050","Preheat an oven to 350 degrees F (175 degrees C). Line a non insulated cookie sheet with parchment paper.
With a knife or kitchen shears carefully remove the leaves from the thick stems and tear into bite size pieces. Wash and thoroughly dry kale with a salad spinner. Drizzle kale with olive oil and sprinkle with seasoning salt.
Bake until the edges brown but are not burnt, 10 to 15 minutes.",4.46724128723145,1791,58 ,6 servings,2.8,7.6,2.5,0,185
Crispy Honey Sriracha Chicken Wings,http://allrecipes.com/recipe/241001/crispy-honey-sriracha-chicken-wings/,"""The honey-sriracha glaze is quite delicious and incredibly simple, but merely an afterthought here. The real star of the show is the strange, but effective, technique of coating the wings with a baking powder-laced spice rub before baking. Through the magic of chemical reactions, the surface of the chicken becomes bone-dry, and eventually crisps up to something very similar to what would come out of a deep fryer.""",Chef John,5 m,55 m,1 h,"1051, 1052, 1053, 1054, 1055, 1056, 1057, 1058, 1059, 1060, 1061","Preheat oven to 425 degrees F (220 degrees C). Line a baking sheet with aluminum foil and place an oven-proof wire rack over the foil.
Whisk baking powder, salt, black pepper, and paprika together in a small bowl. Place chicken wings in a large bowl. Sprinkle 1/2 of the baking powder mixture over wings and toss to coat. Sprinkle remaining baking powder mixture over wings and toss to coat again. Place wings onto the rack of the prepared baking sheet.
Bake in the preheated oven for 20 minutes. Turn wings and continue baking for 20 minutes. Turn wings again and bake until wings are browned and crispy, about 15 minutes more. Transfer wings to a large bowl.
Whisk honey, sriracha sauce, rice vinegar, and sesame oil together in a bowl until glaze is smooth. Drizzle glaze over wings and toss to coat completely. Transfer wings to a serving platter and sprinkle sesame seeds over the top.",4.69841289520264,156,315 ,4 servings,14.3,28.7,19.3,59,3152
Buffalo Chicken Dip,http://allrecipes.com/recipe/68461/buffalo-chicken-dip/,"""This tangy, creamy dip tastes just like Buffalo chicken wings. It's best served hot with crackers and celery sticks. Everyone loves the results!""",NUNPUNCH,5 m,40 m,45 m,"1062, 1063, 1064, 1065, 1066, 1067, 1068","Heat chicken and hot sauce in a skillet over medium heat, until heated through. Stir in cream cheese and ranch dressing. Cook, stirring until well blended and warm. Mix in half of the shredded cheese, and transfer the mixture to a slow cooker. Sprinkle the remaining cheese over the top, cover, and cook on Low setting until hot and bubbly. Serve with celery sticks and crackers.",4.70197105407715,3409,284 ,20 servings (5 cups),22.6,8.6,11.1,54,552
Big Ray's Mexican Monkey Bread,http://allrecipes.com/recipe/237835/big-rays-mexican-monkey-bread/,"""I made this last night, and WOW it was delicious. I actually made it for a breakfast dish one time, and I think it's perfect for that as well.""",bfr610,10 m,40 m,55 m,"1069, 1070, 1071, 1072, 1073, 1074","Preheat oven to 350 degrees F (175 degrees C). Prepare a 9x5-inch loaf pan with cooking spray.
Pour melted butter into a small bowl. Dip each piece of biscuit dough in melted butter to coat.
Arrange enough of the biscuit dough pieces in the bottom of the loaf pan to form a single layer; top with 1/2 cup Cheddar cheese, 1/4 cup pepper slices, and 1/4 teaspoon parsley. Repeat layering once and top with remaining biscuit dough pieces, pepper slices, and parsley flakes.
Mix remaining 1/4 cup Cheddar cheese and mozzarella cheese together in a bowl; spread over the top of the ingredients to cover.
Bake in preheated oven until golden brown, 40 to 45 minutes. Cool bread in pan for 5 minutes before inverting onto a plate to serve.",4.64864873886108,32,195 ,12 servings (1 loaf),11.4,17,6.1,19,481
Double Tomato Bruschetta,http://allrecipes.com/recipe/20669/double-tomato-bruschetta/,"""A delicious and easy appetizer.  The balsamic vinegar gives it a little bite.  Dried basil can be substituted but it is best with fresh.""",Laurie Thompson,15 m,7 m,35 m,"1075, 1076, 1077, 1078, 1079, 1080, 1081, 1082, 1083, 1084","Preheat the oven on broiler setting.
In a large bowl, combine the roma tomatoes, sun-dried tomatoes, garlic, olive oil, vinegar, basil, salt, and pepper. Allow the mixture to sit for 10 minutes.
Cut the baguette into 3/4-inch slices. On a baking sheet, arrange the baguette slices in a single layer. Broil for 1 to 2 minutes, until slightly brown.
Divide the tomato mixture evenly over the baguette slices. Top the slices with mozzarella cheese.
Broil for 5 minutes, or until the cheese is melted.",4.8254075050354,1998,215 ,12 servings,8.9,24.8,9.6,12,426
Hummus III,http://allrecipes.com/recipe/14830/hummus-iii/,"""Hummus is a pureed garbanzo bean dip with Middle Eastern origins. Serve with pita and an assortment of fresh vegetables. This is the secret combination straight from a Boston restaurant. Tahini, or sesame seed paste, can be found in health food stores, gourmet shops and even many grocery stores.""",RC2STEP,10 m
Hot Muffuletta Dip,http://allrecipes.com/recipe/236760/hot-muffuletta-dip/,"""A tasty hot-and-spicy spread worthy of your your Mardi Gras celebration. I find giardiniera in the store by the pickles and other jarred, pickled vegetables. I like to serve this with chunks of French or focaccia bread, but it's great with crackers or tortilla chips, too.""",Saveur,15 m,30 m,45 m,"1085, 1086, 1087, 1088, 1089, 1090, 1091, 1092","Preheat oven to 350 degrees F (175 degrees C).
Mix cream cheese, salami, olives, roasted red peppers, giardiniera, provolone cheese, and garlic together in a bowl; transfer to a 9-inch pie plate.
Bake in the preheated oven until bubbling and hot, about 30 minutes. Sprinkle parsley over dip.",4.65217399597168,20,336 ,6 servings,29.3,4.7,14.3,79,1552
Awesome Crispy Baked Chicken Wings,http://allrecipes.com/recipe/256752/awesome-crispy-baked-chicken-wings/,"""Incredibly tasty variation of baked chicken wings with no marinade - just butter, garlic, and herbs. Great for the low-carb eater!""",MARKANDANGIE,25 m,1 h 3 m,1 h 28 m,"1093, 1094, 1095, 1096, 1097, 1098, 1099, 1100, 1101","Preheat oven to 350 degrees F (175 degrees C). Line a shallow baking dish with aluminum foil and grease lightly.
Cut tips from chicken wings and discard. Cut between the joint to separate each wing into 2 pieces.
Combine butter and garlic in a small saucepan over low heat; heat until butter is melted and garlic is fragrant, 3 to 5 minutes.
Mix Parmesan cheese, parsley, oregano, paprika, salt, and pepper together in a shallow bowl.
Dip chicken wing pieces in melted butter mixture; coat with Parmesan cheese mixture in the bowl. Arrange in the prepared baking dish. Drizzle any remaining butter on top.
Bake in the preheated oven until skin is browned and juices run clear, about 1 hour.",4.54054069519043,30,233 ,10 servings,19.2,1.2,13.7,63,452
Best Spinach Dip Ever,http://allrecipes.com/recipe/22617/best-spinach-dip-ever/,"""This is my dad's recipe. The entire family loves it! A flavorful spinach mixture fills a tasty bread bowl. Your family will love it, too.""",Shawna,15 m
Restaurant-Style Buffalo Chicken Wings,http://allrecipes.com/recipe/24087/restaurant-style-buffalo-chicken-wings/,"""This is similar to the hot wings recipe served at a popular restaurant chain. If you have ever had them, you have to love them.""",Kelly,15 m,15 m,2 h,"1102, 1103, 1104, 1105, 1106, 1107, 1108, 1109, 1110","In a small bowl mix together the flour, paprika, cayenne pepper and salt. Place chicken wings in a large nonporous glass dish or bowl and sprinkle flour mixture over them until they are evenly coated. Cover dish or bowl and refrigerate for 60 to 90 minutes.
Heat oil in a deep fryer to 375 degrees F (190 degrees C). The oil should be just enough to cover wings entirely, an inch or so deep. Combine the butter, hot sauce, pepper and garlic powder in a small saucepan over low heat. Stir together and heat until butter is melted and mixture is well blended. Remove from heat and reserve for serving.
Fry coated wings in hot oil for 10 to 15 minutes, or until parts of wings begin to turn brown. Remove from heat, place wings in serving bowl, add hot sauce mixture and stir together. Serve.",4.78077602386475,2436,364 ,5 servings (10 chicken wings),32.4,10.7,7.9,44,497
Baked Buffalo Chicken Dip,http://allrecipes.com/recipe/221131/baked-buffalo-chicken-dip/,"""You can't keep showing up at these Super Bowl parties with a bag of chips every year. So, if you're ready to go from snack scrub to appetizer all-star, then give this great baked dip a try.""",Chef John,15 m,15 m,30 m,"1111, 1112, 1113, 1114, 1115, 1116, 1117, 1118, 1119","Preheat oven to 400 degrees F (200 degrees C).
Combine chicken, cream cheese, hot pepper sauce, 1/2 cup pepper Jack cheese, blue cheese dressing, crumbled blue cheese, seafood seasoning, and cayenne pepper in a large bowl.
Transfer chicken mixture to a 9-inch round baking dish and sprinkle with 2 tablespoons pepper Jack cheese.
Bake until lightly browned, 15 to 20 minutes. Remove from oven and garnish with cayenne pepper.",4.75229358673096,170,407 ,8 servings,35.9,3.2,17.1,107,1093
Sweet and Spicy BBQ Chicken Wings,http://allrecipes.com/recipe/256641/sweet-and-spicy-bbq-chicken-wings/,"""Frozen chicken wings are cooked to perfection in the Panasonic CIO while you quickly make a simple sauce to toss them in. Now you're ready to tailgate in record time.""",RainbowJewels,10 m,23 m,33 m,"1120, 1121, 1122, 1123, 1124, 1125, 1126, 1127","Arrange chicken wings on a grill pan. Cook in the Panasonic Countertop Induction Oven on ""Auto Cook"" setting 1 until browned, about 18 minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).
Make barbeque sauce by whisking ketchup, vinegar, brown sugar, paprika, salt, pepper, and red pepper flakes together in a small sauce pan until well combined. Simmer for 5 minutes, stirring occasionally.
Place cooked wings in a large bowl; pour desired amount of sauce over top and toss to coat well.",4.42857122421265,7,269 ,4 servings,11.4,26.7,16.2,48,787
