name,link,desc,chef,prepTime,cooktime,total,ingredients,instructions,rating,num_of_reviews,calories,servings,fat,carb,protein,cholesterol,sodium,image
Chicken Majestic,https://www.vahrehvah.com/chicken-majestic,"This dish has its origins in Hyderabad, India. Chicken Majestic is a dry chicken dish marinated with Indian spices with an appealing look. Elders or youngers this chicken dish always tempt you to have more. A huge gettogether or small parties this is amazing starter dish to serve your guests.
 ",Vahchef,10 mins,20 mins,20 mins,"8325, 8326, 8327, 8328, 8329, 8330, 8331, 8332, 8333, 8334, 8335, 8336, 8337, 8338, 8339, 8340, 8341, 8342, 8343, 8344, 8325, 8326, 8327, 8328, 8329, 8330, 8331, 8332, 8333, 8334, 8335, 8336, 8337, 8338, 8339, 8340, 8341, 8342, 8343, 8344","Marinate chicken strips in buttermilk and salt (to taste) for 2 to 3 hours.
In a bowl, add marinated chicken, corn flour, salt, egg, ginger garlic paste, 1/2 teaspoon of oil, mix it well and rest for 1-2 hours in the refrigerator then deep fry the chicken till cooked.
Heat oil in a pan, add chopped garlic, sliced green chillies, chopped curry leaves, mint leaves, turmeric powder, red chili powder, cumin powder, coriander powder, curd, salt, MSG (optional), mix it.
Then add soya sauce, fried chicken strips and toss them.
At last, garnish with chopped coriander and lime juice.&nbsp;Serve it hot.",3.3538,65,234,4,14,NULL,27,88,82,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/uploads/old/DibkVtLcYe.gif
Aloo ki Roti,https://www.vahrehvah.com/aloo-ki-roti,The whole potatoes boiled and incorporated with the regular roti atta with the addition of some faring ingredients and cooked on a hot tava.,Vahchef,10 mins,25 mins,25 mins,"8345, 8346, 8347, 8348, 8349, 8334, 8350, 8351, 8352, 8353, 8354, 8345, 8346, 8347, 8348, 8349, 8334, 8350, 8351, 8352, 8353, 8354","Take a bowl, add boiled and grated potato, ajwain, salt, chopped green chilies, onion, coriander, finely chopped ginger.
Then add all-purpose flour, wheat flour, baking powder, mix it like a dough.
Divide the dough into equal portions, with the help of rolling pin to make chapattis.
&nbsp;Cook each roti on both sides on a griddle till golden brown using butter.
",3.6377,69,0,2,0,NULL,0,0,0,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/uploads/old/XiTgFIlrgf.gif
Paneer Pasanda Pakoda,https://www.vahrehvah.com/paneer-pasanda-pakoda-1,Paneer pasanda is a dish from the Mughlai cuisine served as a snack.,Vahchef,10 mins,10 mins,10 mins,"8355, 8356, 8357, 8358, 8334, 8359, 8360, 8361, 8362, 8363, 8355, 8356, 8357, 8358, 8334, 8359, 8360, 8361, 8362, 8363","Take paneer square pieces, cut them in a pocket shape and stuff with favorite pickle, keep it aside.
Take a bowl add chickpea flour, salt, carom seeds, chili powder, cooking soda, mix it like a thick batter. Dip the paneer slices in the batter and deep fry them.
Cut the fried paneer pasanda pakoda and sprinkle chat masala on it. Enjoy this snack.
",3.1683,1004,402.2,4,33,NULL,25,105,621,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/uploads/old/PXwMiV4dzK.gif
Moong Dal Puri,https://www.vahrehvah.com/moong-dal-puri,Moong Dal puri is a fantastic puffed Indian bread made with all-purpose flour combined with soaked moong.,Vahchef,5 mins,10 mins,10 mins,"8364, 8365, 8366, 8367, 8368, 8334, 8357, 8369, 8360, 8364, 8365, 8366, 8367, 8368, 8334, 8357, 8369, 8360","First, soak the moong dal for 2 hours and keep it aside.
To the soaked moong dal, add cumin seeds, spring onions, ginger (optional), put it into the blender and make a paste.
Take a bowl add all purpose flour, salt, chili powder, asafoetida, mix this.
Later even add prepared paste along with some water, mix it like a soft dough and let it rest for about 15 minutes.
Divide the dough into equal portions and make them puris and deep fry them in the hot oil.Delicious and Healthy Moong dal puri is now ready to serve with any curry or Korma.",3.3415,41,346,4,2,NULL,22,0,10,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/uploads/old/E8YevTSTn2.gif
KALA JAMUN STUFFED,https://www.vahrehvah.com/stuffed-kala-jamun,"Kala Jamun, a dark brown color jamuns coated with desiccated coconut powder is a variation to normal gulab jamuns which are larger in size when compared to the gulab jamuns and also much tastier.


",Vahchef,10 mins,20 mins,20 mins,"8370, 8371, 8372, 8373, 8374, 8375, 8376, 8377, 8378, 8379, 8338, 8370, 8371, 8372, 8373, 8374, 8375, 8376, 8377, 8378, 8379, 8338","In a bowl add grated khoya, paneer, all purpose flour, soda, sugar, cardamom powder, sooji and mix it gently.
Add a little bit of water and make it into a dough and knead the dough well.&nbsp;
Take a small bowl add soaked and chopped pistachio, almonds, saffron water and a small portion of dough mix it well.
Divide the white and colored dough into equal portions.
Take the white dough spread it then stuff the colored dough into it and close make a bullet shape, repeat the same process for entire dough. &nbsp;
For sugar syrup: take a pan add sugar and some water and bring to boil, and boil till syrup is one string consistency.&nbsp;
Once all the jamuns are ready, &nbsp;heat oil and fry on a low flame till they are golden brown.
Add these jamuns to hot sugar syrup soak for at least 30 minutes.
",3.3043,23,0,4,0,NULL,0,0,0,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/003ab10ce3048f6b0974db50550e7ed4.JPG
LEMON CORIANDER SOUP,https://www.vahrehvah.com/lemon-coriander-soup,"An herbed flavour tangy soup. This Lemon coriander soup presents the lovely combination of lime juice and fresh coriander leaves with vegetable stuffing in the wontons.
",Vahchef,5 mins,10 mins,10 mins,"8380, 8381, 8382, 8383, 8384, 8385, 8386, 8387, 8388, 8389, 8334, 8390, 8391, 8392, 8393, 8394, 8395, 8396, 8397, 8398, 8380, 8381, 8382, 8383, 8384, 8385, 8386, 8387, 8388, 8389, 8334, 8390, 8391, 8392, 8393, 8394, 8395, 8396, 8397, 8398","In a strainer, take dry lemon grass, coriander stem and zest of lemon.
Now keep this in a boiling water and let it infuse in water to give a nice flavor.
In a hot pan, add chopped mushroom, garlic, ginger, cabbage, carrot, green chilies, spring onions and cook it for few minutes.
Season it with salt, crushed pepper and stir fry for few minutes.
Now add cornstarch and cook for some more time.
Add soya sauce and mix it properly. Keep it aside.
To make wonton sheet, &nbsp;take all purpose flour (gluten rich flour), turmeric powder and water in a bowl. Mix it and make a dough.
Roll it long and cut in round shapes (like pooris) to make wontons.
Keep the stuffing mixture on the small pooris and wet the edges with water to seal it by folding.&nbsp;&nbsp;Now join the edges again with the help of water. &nbsp;
Remove the strainer from water and reduce the flame. Season it with &nbsp;sugar, salt and tasting salt in it.
Drop in the wontons in water and squeeze in some lime juice. Let the wontons cook for 3-4 mins.
Once the wontons start floating they seem to be cooked. Take these wontons in a bowl and add&nbsp;fresh coriander leaves . Fill the bowl with the stock.Enjoy this hot lemon coriander soup with lot of &nbsp;fresh vegetables.",2.9333,15,28.3,4,0.3,NULL,3.1,0,5,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/c5f7294c780860d396dd2c5855a344a3.JPG
CHICKEN POT BIRYANI,https://www.vahrehvah.com/chicken-pot-biryani,Biryani is traditionally associated with the Mughlai cuisine . In chicken pot biryani version where all the ingredients are placed in one pot and cooked on the stove top.,Vahchef,10 mins,20 mins,20 mins,"8399, 8394, 8400, 8334, 8401, 8402, 8403, 8404, 8405, 8406, 8407, 8408, 8409, 8410, 8411, 8412, 8327, 8332, 8413, 8399, 8394, 8400, 8334, 8401, 8402, 8403, 8404, 8405, 8406, 8407, 8408, 8409, 8410, 8411, 8412, 8327, 8332, 8413","Marinate chicken with turmeric powder, red chili powder, salt and mix nicely. Let it rest for overnight.
Slightly crush cloves, cardamom, star anise, cinnamon stick with pestle.
Take a mixie jar and add chopped mint leaves, coriander leaves, green chilies, blend into a green paste.
Heat oil in a pot, add bay leaves, black cumin seeds, slightly crushed spices and saute it.&nbsp;
To it, add slices of onions, little salt and cook it, later add ginger garlic paste, pinch of turmeric powder, prepared green paste, saute it for about a minute.
Then add dry coriander powder, little red chili powder, garam masala powder, yogurt, and mix it.
Later add marinated chicken and check for seasoning.
Soak rice for about 30 minutes, remove water from the rice.
To the pot, add water, rice and mix slightly and cook it with closed lid first on high flame, later on slow flame until rice is cooked.Now the chicken pot biryani is ready to serve with raitha.",2.64,75,234,4,14,NULL,27,88,82,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/648ec77ee7401bab81c10f6bdae42941.JPG
Green Apple Pickle,https://www.vahrehvah.com/green-apple-pickle,"We all have grown up eating delicious, crunchy and tangy pickles made by our grandmothers and mothers. No meal is complete without them. Spike your food with Green Apple Pickle, eat it with rice, its sour and hot taste titillates the taste buds.",Vahchef,10 mins,10 mins,10 mins,"8414, 8415, 8416, 8368, 8417, 8418, 8419, 8420, 8421, 8422, 8423, 8424, 8425, 8334, 8414, 8415, 8416, 8368, 8417, 8418, 8419, 8420, 8421, 8422, 8423, 8424, 8425, 8334","Roast cinnamon stick, mustard seeds, cumin seeds, fenugreek seeds and blend to coarse powder.
In a pan, add peanut oil, salt, chopped green apple pieces, turmeric powder, curry leaves, red chili powder, raw tamarind pulp, sugar, green chillies, red chillies, and cook it well.
Then add prepared masala powder and cook it well.
Now, transfer to bowl and serve it with rice or roti.
",2.5,2,59,4,0.2,NULL,0.3,0,1,https://6d1bdf0e0edb084eae10-5bfabe5484726969ac662c6d377e2f3c.ssl.cf2.rackcdn.com/uploads/35870/fc482b2cc8c07bf663f18027ca8a0ffb.jpg
RIDGE GOURD AND POTATO CURRY,https://www.vahrehvah.com/ridge-gourd-and-potato-curry,"A Bengali ridge gourd potato curry recipe using a creative combination of ingredients, with spices.",Vahchef,5 mins,15 mins,15 mins,"8437, 8445, 8334, 8394, 8446, 8327, 8447, 8332, 8448, 8449, 8450, 8451, 8452, 8453, 8437, 8445, 8334, 8394, 8446, 8327, 8447, 8332, 8448, 8449, 8450, 8451, 8452, 8453","Heat oil in a pan and add onions, salt, turmeric powder and saute it.
Add ridge gourd, tomatoes,Green chili paste, coriander powder, cumin seeds powder, ginger garlic paste and cook with lid on, until it is nice and soft.
Remove lid and add fresh grated coconut, boiled and chopped potato, garam masala and mix nicely and place lid and cook it for 3 minutes.Now ridge gourd and potato curry is ready to serve.",4.6667,6,61.5,4,0.3,NULL,0.7,0,21,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/60ad3cef0ca1a925ba83f4870b408fc7.jpg
FATTA FAT CHUTNEY - GRATED CARROT MUSTARD PICKLE,https://www.vahrehvah.com/fatta-fat-chutney-grated-carrot-mustard-pickle,This a instant pickle prepared with carrot served with rice.,Vahchef,5 mins,mins,mins,"8454, 8455, 8438, 8384, 8456, 8457, 8334, 8421, 8454, 8455, 8438, 8384, 8456, 8457, 8334, 8421","Take a bowl and add carrot, cumin seeds, julians of ginger, chopped garlic, mustard powder, red chili powder, vinegar, salt and mix nicelyNow carrot pickle is ready to serve.",2.4,15,45.4,4,0.2,NULL,0.9,0,69,http://34c6b8841d4124020671-5bfabe5484726969ac662c6d377e2f3c.r16.cf2.rackcdn.com/d9b69974172abd7bb4ed018211a50c05.jpg
